"","X","Gemeindekennziffer","GISD_Score","GISD_5","GISD_10","GISD_k","Name.der.Gemeinde","Jahr","Kreis","digits","Lebenserwartung_Frauen_2016","Lebenserwartung_MÃ¤nner_2016"
"150",74159,7137001,0.57915666498398,3,6,2,"Acht",2016,7137,0,83.1066666666667,78.9766666666667
"151",76029,7137501,0.577137441148897,3,6,2,"Münstermaifeld, Stadt",2016,7138,0,82.9166666666667,78.3366666666667
"152",77415,7138501,0.600863321211122,3,6,2,"Kasbach-Ohlenberg",2016,7139,0,NA,NA
"153",77437,7140001,0.560447938022191,3,5,2,"Alterkülz",2016,7140,0,83.1833333333333,78.3833333333333
"154",80363,7140501,0.550032451811635,3,5,2,"Boppard, Stadt",2016,7141,0,82.6566666666667,77.8133333333333
"155",83399,7141501,0.613617398291902,4,7,2,"Braubach, Stadt",2016,7142,0,NA,NA
"156",83465,7143001,0.584791947829849,3,6,2,"Alsbach",2016,7143,0,83.02,78.1933333333333
"157",87645,7143501,0.5645481986669,3,5,2,"Elbingen",2016,7144,0,NA,NA
"158",87689,7211000,0.64489476341084,4,8,2,"Trier, Stadt",2016,7211,0,82.2233333333333,78.07
"159",87711,7231001,0.597865391945769,3,6,2,"Altrich",2016,7231,0,83.4366666666667,78.96
"160",89977,7231501,0.617738263261459,4,7,2,"Irmenach",2016,7232,0,82.84,78.1733333333333
"161",95169,7232501,0.654826047987473,4,8,2,"Wißmannsdorf",2016,7233,0,82.2566666666667,79.1733333333333
"162",97589,7233501,0.632830931212461,4,7,2,"Daun, Stadt",2016,7234,0,NA,NA
"163",97611,7235001,0.708933005037757,5,9,3,"Aach",2016,7235,0,84.14,79.0166666666667
"164",99877,7235501,0.708933005037757,5,9,3,"Welschbillig",2016,7236,0,NA,NA
"165",99899,7311000,0.605653826738232,4,7,2,"Frankenthal (Pfalz), Stadt",2016,7311,0,83.28,77.6233333333333
"166",99921,7312000,0.708757868276551,5,9,3,"Kaiserslautern, Stadt",2016,7312,0,82.04,77.4666666666667
"167",99943,7313000,0.614050089113705,4,7,2,"Landau in der Pfalz, Stadt",2016,7313,0,82.8833333333333,79.0666666666667
"168",99965,7314000,0.685454376873706,5,9,3,"Ludwigshafen am Rhein, Stadt",2016,7314,0,82.9266666666667,77.6533333333333
"169",99987,7315000,0.307911030525307,1,1,1,"Mainz, Stadt",2016,7315,0,83.9533333333333,79.55
"170",100009,7316000,0.487652858334964,2,3,2,"Neustadt an der Weinstraße, Stadt",2016,7316,0,83.4266666666667,78.8466666666667
"171",100031,7317000,0.94910731762597,5,10,3,"Pirmasens, Stadt",2016,7317,0,80.2133333333333,76.5433333333333
"172",100053,7318000,0.471911154151256,2,3,2,"Speyer, Stadt",2016,7318,0,82.9466666666667,78.0333333333333
"173",100075,7319000,0.766480884337622,5,10,3,"Worms, Stadt",2016,7319,0,82.6133333333333,77.8833333333333
"174",100097,7320000,0.677439294507917,5,9,3,"Zweibrücken, Stadt",2016,7320,0,82.6666666666667,77.8933333333333
"175",100119,7331001,0.550671185881917,3,5,2,"Albig",2016,7331,0,83.0933333333333,79.1466666666667
"176",101637,7332001,0.528315493422069,2,4,2,"Altleiningen",2016,7332,0,83.2566666666667,79.01
"177",102693,7333001,0.599791896319037,3,6,2,"Albisheim (Pfrimm)",2016,7333,0,82.56,77.6766666666667
"178",104409,7333501,0.599791896319037,3,6,2,"Zellertal",2016,7334,0,83.61,79.1866666666667
"179",105135,7334501,0.477855501869842,2,3,2,"Wörth am Rhein, Stadt",2016,7335,0,83.18,78.52
"180",106235,7335501,0.599081047111789,3,6,2,"Reichenbach-Steegen",2016,7336,0,82.6833333333333,77.66
"181",108391,7336501,0.663150195225978,4,8,2,"Quirnbach/ Pfalz",2016,7337,0,83.9433333333333,79.39
"182",110041,7337501,0.535866978478783,2,4,2,"Annweiler am Trifels, Stadt",2016,7338,0,84.0233333333333,79.8533333333333
