Kennziffer;Raumeinheit;Aggregat;Lebenserwartung Frauen;Lebenserwartung Frauen;Lebenserwartung Männer;Lebenserwartung Männer
"09371";"Amberg-Sulzbach";"Landkreis";"83,40";"83,06";"78,16";"77,61"
"09372";"Cham";"Landkreis";"83,43";"83,26";"77,67";"77,75"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"82,99";"83,69";"78,68";"78,49"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"82,61";"83,06";"77,86";"77,69"
"09375";"Regensburg";"Landkreis";"83,79";"83,83";"79,49";"79,70"
"09376";"Schwandorf";"Landkreis";"82,91";"83,20";"77,78";"78,11"
"09377";"Tirschenreuth";"Landkreis";"82,75";"83,15";"77,06";"77,37"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"82,56";"82,04";"78,26";"78,28"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"84,05";"82,97";"77,66";"77,58"
"09463";"Coburg, Stadt";"krsfr. Stadt";"82,88";"83,10";"77,65";"77,56"
"09464";"Hof, Stadt";"krsfr. Stadt";"82,60";"82,83";"76,29";"76,08"
"09471";"Bamberg";"Landkreis";"82,76";"82,65";"77,93";"78,14"
"09472";"Bayreuth";"Landkreis";"83,65";"83,31";"78,11";"78,02"
"09473";"Coburg";"Landkreis";"83,85";"82,75";"78,80";"77,64"
"09474";"Forchheim";"Landkreis";"82,76";"84,17";"78,84";"79,39"
"09475";"Hof";"Landkreis";"83,04";"82,88";"77,75";"77,26"
"09476";"Kronach";"Landkreis";"83,30";"82,79";"77,87";"77,16"
"09477";"Kulmbach";"Landkreis";"83,57";"81,89";"77,70";"77,91"
"09478";"Lichtenfels";"Landkreis";"81,73";"82,48";"77,64";"77,53"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"82,26";"81,73";"76,84";"76,29"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"82,39";"82,86";"77,80";"77,85"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"84,44";"83,29";"79,71";"78,30"
"09563";"Fürth, Stadt";"krsfr. Stadt";"82,44";"83,03";"77,31";"78,04"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"83,10";"82,73";"77,80";"77,68"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"83,67";"82,21";"78,97";"79,06"
"09571";"Ansbach";"Landkreis";"83,53";"83,15";"78,45";"78,90"
"09572";"Erlangen-Höchstadt";"Landkreis";"83,87";"84,23";"80,13";"79,85"
"09573";"Fürth";"Landkreis";"83,30";"83,40";"79,23";"80,07"
"09574";"Nürnberger Land";"Landkreis";"83,21";"83,35";"78,65";"79,12"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"83,62";"83,25";"78,98";"78,06"
"09576";"Roth";"Landkreis";"83,67";"84,00";"78,85";"78,92"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"83,77";"83,39";"78,00";"77,94"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"82,86";"82,91";"77,70";"78,64"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"83,31";"82,48";"77,18";"76,29"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"83,89";"83,78";"78,66";"78,80"
"09671";"Aschaffenburg";"Landkreis";"83,75";"84,30";"79,95";"80,37"
"09672";"Bad Kissingen";"Landkreis";"83,22";"83,39";"79,55";"78,40"
"09673";"Rhön-Grabfeld";"Landkreis";"83,40";"83,63";"78,94";"78,42"
"09674";"Haßberge";"Landkreis";"82,79";"83,83";"78,24";"78,55"
"09675";"Kitzingen";"Landkreis";"83,50";"82,98";"79,16";"79,16"
"09676";"Miltenberg";"Landkreis";"83,83";"83,98";"79,48";"78,86"
"09677";"Main-Spessart";"Landkreis";"83,78";"83,43";"79,48";"78,89"
"09678";"Schweinfurt";"Landkreis";"84,11";"83,56";"80,02";"80,07"
"09679";"Würzburg";"Landkreis";"84,82";"85,18";"80,35";"81,09"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"83,43";"83,58";"77,94";"78,28"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"84,04";"84,29";"78,27";"79,55"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"83,00";"83,93";"78,93";"79,41"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"83,43";"83,63";"79,70";"78,46"
"09771";"Aichach-Friedberg";"Landkreis";"84,29";"83,68";"80,04";"80,91"
