"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_Score_2","GISD_5","GISD_10","GISD_k"
"1387",1302,"Mittleres Mecklenburg/Rostock",2007,416045,0.778386964511203,0.659604594277336,0.796193175481833,0.689682276876377,0.756611,5,9,3
"1388",1302,"Mittleres Mecklenburg/Rostock",2008,416045,0.729386949576105,0.633685767539655,0.749105458958552,0.648998079454696,0.694688,4,8,2
"1389",1302,"Mittleres Mecklenburg/Rostock",2009,416045,0.734055550550124,0.683018461131392,0.723978605694995,0.635624413430767,0.700588,4,8,2
"1390",1302,"Mittleres Mecklenburg/Rostock",2010,416045,0.722583468364866,0.67525056625934,0.72296327862084,0.617789898167268,0.686091,4,7,2
"1391",1302,"Mittleres Mecklenburg/Rostock",2011,416045,0.693549814082766,0.659134178453436,0.695464974206706,0.594040168877886,0.6494,3,6,2
"1392",1302,"Mittleres Mecklenburg/Rostock",2012,416045,0.669607425135334,0.63482936143264,0.688157959252998,0.570100427312036,0.619144,3,6,2
"1393",1302,"Mittleres Mecklenburg/Rostock",2013,416045,0.652671894760398,0.626229562713445,0.675772244905656,0.551791809657796,0.597742,3,5,2
"1394",1302,"Mittleres Mecklenburg/Rostock",2014,416045,0.62738275418183,0.568970372996811,0.659605536322871,0.566541376380315,0.565784,2,4,2
"1395",1303,"Vorpommern",1998,461167,0.908763213413535,0.77816592545806,0.871856537343273,0.797958967247339,0.921369,5,10,3
"1396",1303,"Vorpommern",1999,461167,0.902392816049811,0.78319539829501,0.860727459270255,0.789277858728853,0.913319,5,10,3
"1397",1303,"Vorpommern",2000,461167,0.893579939088713,0.771134007161779,0.85301829260898,0.788600616444536,0.902182,5,10,3
"1398",1303,"Vorpommern",2001,461167,0.899415735782394,0.813983937778697,0.836628072227093,0.775681229604441,0.909557,5,10,3
"1399",1303,"Vorpommern",2002,461167,0.881119063110647,0.768866692172752,0.834601360352116,0.780372908839445,0.886435,5,10,3
"1400",1303,"Vorpommern",2003,461167,0.882548496741991,0.757615116069243,0.827459851512854,0.802082592124472,0.888241,5,10,3
"1401",1303,"Vorpommern",2004,461167,0.875519445823497,0.736253946560971,0.819881534348493,0.814713144886,0.879359,5,10,3
"1402",1303,"Vorpommern",2005,461167,0.883778937996296,0.751148992900502,0.827049619134326,0.811813840221338,0.889796,5,10,3
"1403",1303,"Vorpommern",2006,461167,0.877974625934507,0.769096155859956,0.814247374835209,0.793201649391146,0.882461,5,10,3
"1404",1303,"Vorpommern",2007,461167,0.827580725984555,0.713538546588392,0.794253263019317,0.75182851201099,0.818778,5,10,3
"1405",1303,"Vorpommern",2008,461167,0.795529561631388,0.728456052392175,0.748180572315595,0.708617992739631,0.778274,5,9,3
"1406",1303,"Vorpommern",2009,461167,0.780360732490423,0.734648472951617,0.725302436657178,0.690108709987912,0.759105,5,9,3
"1407",1303,"Vorpommern",2010,461167,0.786739235870826,0.770061383122048,0.725727298241104,0.66907045971789,0.767165,5,9,3
